NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
The Ivory Tower,0.01,2,"+(40-70) to Intelligence (), +30 to maximum Energy Shield per 100 Reserved Life (), +(80-100) to maximum Mana (), Regenerate 2% of Energy Shield per second (), Chaos Damage is taken from Mana before Life ()"
Assailum,0.01,2,"Grants Level 30 Snipe Skill (), Socketed Non-Channelling Bow Skills are Triggered by Snipe
Socketed Triggered Bow Skills gain a 0.05 second Cooldown (), +(350-500) to Accuracy Rating (), +(350-500) to Evasion Rating (), +2 to maximum Snipe Stages (), +(14-20)% chance to Suppress Spell Damage while Channelling ()"
Perfidy,0.01,2,"Having a placed Banner does not prevent you gaining Valour (), (25-40)% increased Melee Damage (), +(60-90) to maximum Life (), (25-50)% increased Valour gained ()"
Plume of Pursuit,0.01,2,"(20-30)% reduced Cast Speed (), (80-130)% increased Energy Shield (), Non-critical strikes deal 80% less Damage (), Spell Skills always deal Critical Strikes on final Repeat (), Spell Skills cannot deal Critical Strikes except on final Repeat ()"
Replica Ambu's Charge,0.01,2,"(180-220)% increased Armour and Energy Shield (), +(60-80) to maximum Life (), +15% to all Elemental Resistances (), Share Endurance Charges with nearby party members (), Gain an Endurance Charge when you are Hit (), Lose 2% of Life per second if you have been Hit Recently ()"
Replica Veil of the Night,0.01,2,"(20-22)% increased Stun and Block Recovery (), 40% reduced Light Radius (), Reflects 1 to (180-220) Lightning Damage to Attackers on Block (), Defences are Zero (), (18-22)% increased Elemental Resistances ()"
Replica Bones of Ullr,0.01,2,"(40-60)% increased Energy Shield (), +20 to maximum Life (), +20 to maximum Mana (), (5-15)% increased Movement Speed (), Summoned Phantasms have 10% chance to refresh their Duration when they Hit a Rare or Unique Enemy (), Summoned Raging Spirits have 10% chance to refresh their Duration when they Hit a Rare or Unique Enemy ()"
Replica Kalisa's Grace,0.01,2,"Socketed Gems are Supported by Level 18 Unleash (), +(20-30) to Intelligence (), +(50-80) to maximum Energy Shield (), +(50-70) to maximum Life (), Gain 40% increased Area of Effect for 2 seconds after Spending a total of 800 Mana ()"
Replica Three-step Assault,0.01,2,"+(25-35) to Dexterity (), (20-40)% increased Evasion Rating (), +(50-70) to maximum Life (), 25% increased Movement Speed (), (10-30)% increased Elusive Effect (), 10% increased Movement Speed if you've Hit an Enemy Recently ()"
The Admiral,0.01,2,"+(30-40) to Intelligence (), (100-140)% increased Evasion and Energy Shield (), +(10-20)% to all Elemental Resistances (), (5-10)% chance to Freeze, Shock and Ignite (), Elemental Damage you Deal with Hits is Resisted by lowest Elemental Resistance instead ()"
Temptation Step,0.01,2,"(170-250)% increased Evasion Rating (), +(19-29)% to Chaos Resistance (), 15% increased Damage for each Poison on you up to a maximum of 75% (), 10% increased Movement Speed for each Poison on you up to a maximum of 50% (), Poison you inflict with Travel Skills is Reflected to you if you
have fewer than 5 Poisons on you ()"
Black Zenith,0.01,2,"Socketed Projectile Spells deal 150% more Damage with Hits (), Socketed Projectile Spells have +4 seconds to Cooldown (), Socketed Projectile Spells fire 4 additional Projectiles (), Socketed Projectile Spells fire Projectiles in a circle (), Socketed Projectile Spells have 80% less Skill Effect Duration (), (140-180)% increased Energy Shield ()"
Replica Allelopathy,0.01,2,"Grants Level 22 Wintertide Brand Skill (), (100-120)% increased Energy Shield (), 10% increased Area of Effect (), Immune to Chill (), Wintertide Brand has (20-30)% increased Chill Effect ()"
Wilma's Requital,0.01,2,"+(300-500) to Accuracy Rating (), (200-250)% increased Energy Shield (), (20-30)% increased Elemental Damage with Attack Skills (), Increases and Reductions to Cast Speed apply to Attack Speed (), Ancestral Bond ()"
The Infinite Pursuit,0.01,2,"20% increased Movement Speed (), Moving while Bleeding doesn't cause you to take extra Damage (), Bleeding on you expires 75% slower while Moving (), Cannot be Poisoned while Bleeding (), Cannot be Stunned while Bleeding (), 20% increased Movement Speed while Bleeding (), 50% chance to be inflicted with Bleeding when Hit by an Attack ()"
Gamblesprint,0.01,2,"+(30-40) to Dexterity (), (100-150)% increased Armour and Evasion (), +(20-40)% to Lightning Resistance (), When Hit, gain a random Movement Speed modifier from 40% reduced to 100% increased, until Hit again ()"
Ahn's Contempt,0.01,1.98,"+(15-20) to all Attributes (), (60-140)% increased Armour and Energy Shield (), +(60-70) to maximum Life (), -1 to Maximum Power Charges (), Gain (8-12)% of Physical Damage as Extra Chaos Damage while at maximum Power Charges (), You take 50% reduced Extra Damage from Critical Strikes while you have no Power Charges ()"
Alberon's Warpath,0.01,1,"(15-18)% increased Strength (), Adds 1 to 80 Chaos Damage to Attacks (), +(180-220) to Armour (), +(13-19)% to Chaos Resistance (), 25% increased Movement Speed (), Summoned Skeleton Warriors are Permanent and Follow you
Summon Skeletons cannot Summon more than 1 Skeleton Warrior ()"
Ambu's Charge,0.01,1,"(180-220)% increased Armour and Energy Shield (), +(60-80) to maximum Life (), +15% to all Elemental Resistances (), Gain up to maximum Endurance Charges when you take a Critical Strike (), Your nearby party members maximum Endurance Charges is equal to yours ()"
Ashrend,0.01,1,"(80-100)% increased Evasion Rating (), +(40-50)% to Fire Resistance (), Cannot be Ignited (), (75-150)% increased Physical Damage with Ranged Weapons (), -(60-30) Physical Damage taken from Attack Hits ()"
Aurseize,0.01,1,"(40-60)% increased Armour and Evasion (), (40-50)% increased Rarity of Items found (), +15% to all Elemental Resistances (), 5% reduced Movement Speed ()"
Black Sun Crest,0.01,1,"+1 to Level of Socketed Gems (), (5-15)% increased Strength (), (5-15)% increased Dexterity (), (5-15)% increased Intelligence (), (100-150)% increased Armour (), 40% reduced Light Radius ()"
Bones of Ullr,0.01,1,"(40-60)% increased Energy Shield (), +20 to maximum Life (), +20 to maximum Mana (), +1 to Level of all Raise Zombie Gems (), +1 to Level of all Raise Spectre Gems (), (5-15)% increased Movement Speed ()"
Bramblejack,0.01,1,"+(30-60) to maximum Life (), -(15-10) Physical Damage taken from Attack Hits (), 1000% of Melee Physical Damage taken reflected to Attacker ()"
Brinerot Flag,0.01,1,"+3 to Level of Socketed Warcry Gems (), (8-12)% increased Cast Speed (), +(70-90) to maximum Energy Shield (), (20-40)% increased Mana Regeneration Rate (), Warcries grant Arcane Surge to you and Allies, with 10% increased effect per 5 power, up to 50% ()"
Brinerot Whalers,0.01,1,"20% increased Global Physical Damage (), +(80-100) to maximum Energy Shield (), +(20-30)% to Lightning Resistance (), 25% increased Movement Speed (), (20-40)% increased Projectile Damage (), Unaffected by Shocked Ground ()"
Bronn's Lithe,0.01,1,"+5 to Level of Socketed Movement Gems (), 10% increased Attack Speed (), (60-100)% increased Damage with Movement Skills (), (200-250)% increased Evasion Rating (), 10% increased Movement Speed ()"
Chalice of Horrors,0.01,1,"+3 to Level of Socketed Curse Gems (), (30-50)% increased Evasion Rating (), +(50-70) to maximum Energy Shield (), 100% Chance to Cause Monster to Flee on Block (), +20% Chance to Block Attack Damage from Cursed Enemies (), Inflict Decay on Enemies you Curse with Hex Skills, dealing 700 Chaos Damage per Second for 8 Seconds ()"
Chernobog's Pillar,0.01,1,"Adds (12-15) to (30-35) Fire Damage to Spells and Attacks (), (120-150)% increased Armour (), +(60-80) to maximum Life (), +(35-50)% to Fire Resistance (), 25% of Physical Damage Converted to Fire Damage (), 25% chance to Curse Non-Cursed Enemies with Enfeeble on Hit ()"
Cherrubim's Maleficence,0.01,1,"(50-80)% increased Chaos Damage (), (160-200)% increased Armour and Evasion (), +(70-100) to maximum Life (), 100% increased total Recovery per second from Life Leech ()"
Craghead,0.01,1,"(20-25)% reduced Enemy Stun Threshold (), 25% reduced Projectile Speed (), (140-200)% increased Stun Duration on Enemies (), 6 to 10 Added Physical Damage with Bow Attacks ()"
Crest of Perandus,0.01,1,"+(60-80) to maximum Life (), Regenerate (5-7.5) Life per second (), +30% to Lightning Resistance (), 0.6% of Physical Attack Damage Leeched as Life (), +5% Chance to Block ()"
Crown of the Pale King,0.01,1,"(150-200)% increased Evasion and Energy Shield (), +(60-80) to maximum Life (), (0.4-0.8)% of Physical Attack Damage Leeched as Life (), Reflects 100 to 150 Physical Damage to Melee Attackers (), 100% of Damage you Reflect to Enemies when Hit is leeched as Life ()"
Crown of Thorns,0.01,1,"+(150-225) to maximum Energy Shield (), Reflects 5 Physical Damage to Melee Attackers (), +25 Physical Damage taken from Attack Hits (), Pain Attunement ()"
Daresso's Courage,0.01,1,"+30% Chance to Block Spell Damage while on Low Life (), (200-250)% increased Armour and Evasion (), +(20-30)% to all Elemental Resistances (), +100% Chance to Block Attack Damage if you have Blocked Spell Damage Recently (), +100% chance to Block Spell Damage if you have Blocked Attack Damage Recently ()"
Daresso's Defiance,0.01,1,"(180-220)% increased Armour and Evasion (), +(60-90) to maximum Life (), 2% of Physical Attack Damage Leeched as Life (), You lose all Endurance Charges when Hit (), You gain an Endurance Charge on Kill (), You gain Onslaught for 5 seconds per Endurance Charge when Hit (), 100% increased Effect of Onslaught on you ()"
Deerstalker,0.01,1,"Socketed Gems are Supported by Level 15 Trap (), (160-200)% increased Evasion Rating (), 15% increased Movement Speed (), (14-18)% increased Trap Throwing Speed (), 15% increased Movement Speed for 9 seconds on Throwing a Trap ()"
Deidbell,0.01,1,"+(20-30) to Strength (), +(20-30) to Dexterity (), +(200-300) to Armour (), Cannot Leech when on Low Life (), Skills which Exert an Attack have (20-40)% chance to not count that Attack ()"
Devoto's Devotion,0.01,1,"+(50-65) to Dexterity (), 10% reduced Global Physical Damage (), 16% increased Attack Speed (), (150-200)% increased Armour and Evasion (), +(15-25)% to Chaos Resistance (), 20% increased Movement Speed (), Mercury Footprints ()"
Doedre's Scorn,0.01,1,"+2 to Level of Socketed Curse Gems (), +(20-30) to Intelligence (), +(100-120) to maximum Energy Shield (), Curse Skills have (30-50)% increased Skill Effect Duration (), Adds 37 to 71 Chaos Damage for each Curse on the Enemy ()"
Doedre's Tenure,0.01,1,"+(20-50) to Intelligence (), 100% increased Spell Damage (), (15-25)% reduced Cast Speed ()"
Drillneck,0.01,1,"(8-12)% increased Attack Speed (), +350 to Evasion Rating (), +(40-50) to maximum Life (), (10-14) to (19-24) Added Physical Damage with Bow Attacks (), Arrows deal 50% increased Damage with Hits and Ailments to Targets they Pierce ()"
Dusktoe,0.01,1,"(60-100)% increased Armour and Evasion (), 20% increased Movement Speed (), 20% reduced Light Radius (), +50% to Chaos Resistance during any Flask Effect (), Adds (30-40) to (50-60) Chaos Damage to Spells and Attacks during any Flask Effect ()"
Empire's Grasp,0.01,1,"Socketed Gems are Supported by Level 10 Knockback (), +(400-600) to Armour (), Knockback direction is reversed ()"
Ezomyte Peak,0.01,1,"+(75-100) to Armour (), +(25-50) to maximum Life (), (15-20)% increased Area of Effect (), Unwavering Stance ()"
Facebreaker,0.01,1,"+30% to Global Critical Strike Multiplier (), 10% reduced Enemy Stun Threshold (), (600-800)% more Physical Damage with Unarmed Melee Attacks (), Extra gore ()"
Fairgraves' Tricorne,0.01,1,"Adds 15 to 25 Cold Damage to Attacks (), 70% increased Evasion Rating (), +(20-30)% to Lightning Resistance (), Cannot be Shocked (), You can be Touched by Tormented Spirits ()"
Flesh and Spirit,0.01,1,"(6-9)% increased Attack Speed (), (80-120)% increased Armour and Evasion (), Regenerate (3-4) Life per second (), Recover 20% of Life on Rampage (), Kills grant an additional Vaal Soul if you have Rampaged Recently (), Rampage ()"
Foxshade,0.01,1,"+(20-30) to Dexterity (), +1000 to Evasion Rating while on Full Life (), (50-70)% increased Evasion Rating (), 30% increased Movement Speed when on Full Life (), Damage of Enemies Hitting you is Unlucky while you are on Full Life ()"
Gang's Momentum,0.01,1,"(160-180)% increased Armour and Energy Shield (), +(50-60)% to Fire Resistance (), 25% increased Movement Speed (), (10-15)% chance to Ignite (), (25-40)% increased Damage with Hits and Ailments against Ignited Enemies ()"
Geofri's Sanctuary,0.01,1,"(50-75)% increased Armour and Energy Shield (), +(30-40) to maximum Energy Shield (), +(60-70) to maximum Life (), +(14-18)% to all Elemental Resistances (), +2 maximum Energy Shield per 5 Strength (), Zealot's Oath ()"
Goldwyrm,0.01,1,"60% increased Mana Regeneration Rate (), (20-40)% increased Rarity of Items found (), +(40-50)% to Fire Resistance (), 10% increased Movement Speed ()"
Great Old One's Ward,0.01,1,"(8-12)% Chance to Block Spell Damage (), Adds (8-12) to (15-20) Physical Damage to Attacks (), (6-10)% increased Attack Speed (), +(50-70) to maximum Life ()"
Greed's Embrace,0.01,1,"30% reduced Strength Requirement (), 100% increased Rarity of Items found (), -10% to Fire Resistance (), +(20-30)% to Cold Resistance (), -(20-10)% to Lightning Resistance (), 20% reduced Movement Speed ()"
Grip of the Council,0.01,1,"+30 to Strength (), +(30-50) to maximum Life (), +(20-40)% to Cold Resistance (), Minions have 10% reduced Movement Speed (), Minions have +40% to Cold Resistance (), Minions gain 20% of Physical Damage as Extra Cold Damage ()"
Honourhome,0.01,1,"+2 to Level of Socketed Gems (), Adds 1 to 30 Lightning Damage to Spells and Attacks (), (100-150)% increased Armour and Energy Shield (), (10-20)% increased Rarity of Items found (), (10-20)% reduced Mana Cost of Skills ()"
Hrimsorrow,0.01,1,"+(20-30) to Strength (), +(40-50) to Evasion Rating (), +(20-30)% to Cold Resistance (), 100% of Physical Damage Converted to Cold Damage (), Reflects 100 Cold Damage to Melee Attackers ()"
Hyrri's Bite,0.01,1,"+(15-25) to Strength (), +(35-45) to Dexterity (), +(15-25) to Intelligence (), Adds 10 to 20 Cold Damage to Attacks (), (7-10)% increased Attack Speed (), Gain (2-3) Life per Enemy Hit with Attacks (), 10% increased Area of Effect ()"
Icetomb,0.01,1,"+(30-40) to Strength (), +(30-40) to Intelligence (), (140-160)% increased Armour and Energy Shield (), +(50-75)% to Cold Resistance (), Cannot be Chilled (), 20% chance to Freeze Enemies for 1 second when they Hit you ()"
Infernal Mantle,0.01,1,"+3 to Level of Socketed Fire Gems (), 100% increased Global Critical Strike Chance (), (120-160)% increased Energy Shield (), 15% of Fire Damage Converted to Chaos Damage (), 100% increased Spell Damage taken when on Low Mana ()"
Jaws of Agony,0.01,1,"Grants Level 25 Bear Trap Skill (), (18-28)% increased Trap Damage (), (15-25)% increased Global Physical Damage (), +(60-80) to maximum Life (), -(18-14) Physical Damage taken from Attack Hits (), 25% chance to gain a Power Charge when you Throw a Trap ()"
Kaltenhalt,0.01,1,"(60-100)% increased Evasion Rating (), +5% to maximum Cold Resistance (), +50% to Cold Resistance (), Gain (10-15)% of Physical Damage as Extra Cold Damage (), Reflects (25-50) Cold Damage to Melee Attackers (), +5% Chance to Block ()"
Kaom's Roots,0.01,1,"Has no Sockets (), Cannot be Knocked Back (), +(150-200) to maximum Life (), Action Speed cannot be modified to below Base Value (), Unwavering Stance ()"
Kingsguard,0.01,1,"(150-170)% increased Armour and Energy Shield (), +(60-90) to maximum Life (), +(50-70) to maximum Mana (), 30% increased Endurance Charge Duration (), Gain 100 Life when you lose an Endurance Charge ()"
Lightbane Raiment,0.01,1,"(120-140)% increased Armour and Energy Shield (), 30% of Physical Damage Converted to Chaos Damage (), Reflects 30 Chaos Damage to Melee Attackers (), 25% reduced Light Radius (), 100% chance to create Desecrated Ground when you Block ()"
Lioneye's Paws,0.01,1,"Trigger Level 5 Rain of Arrows when you Attack with a Bow (), +(40-60) to Strength (), +(40-60) to Dexterity (), Adds 12 to 24 Fire Damage to Attacks (), 20% increased Movement Speed (), 40% reduced Movement Speed when on Low Life ()"
Lioneye's Remorse,0.01,1,"(180-220)% increased Armour (), +(160-180) to maximum Life (), 5% reduced Movement Speed (), 20% increased Stun and Block Recovery (), -25 Physical Damage taken from Projectile Attacks (), +5% Chance to Block ()"
Lioneye's Vision,0.01,1,"Socketed Gems are Supported by Level 15 Pierce (), +160 Dexterity Requirement (), (200-250)% increased Armour (), +(60-100) to maximum Life (), 0.4% of Physical Attack Damage Leeched as Mana (), Enemy Projectiles Pierce you ()"
Malachai's Loop,0.01,1,"(210-250)% increased Energy Shield (), +2 to Maximum Power Charges (), 20% chance to gain a Power Charge on Hit (), (12-16)% increased Spell Damage per Power Charge (), Lose all Power Charges on reaching Maximum Power Charges (), Shocks you when you reach Maximum Power Charges ()"
Malachai's Simula,0.01,1,"+20 to Strength (), +(20-30)% to Lightning Resistance (), Spells have a 20% chance to deal Double Damage (), Blood Magic ()"
Maligaro's Lens,0.01,1,"(10-15)% increased Attack Speed (), (10-20)% increased maximum Life (), -50% to all Elemental Resistances (), 10% increased Area of Effect (), Nearby allies Recover 1% of your Maximum Life when you Die ()"
Matua Tupuna,0.01,1,"+2 to Level of Socketed Minion Gems (), (40-80)% increased Energy Shield (), +(15-25) to maximum Mana (), 20% increased effect of Non-Curse Auras from your Skills on your Minions (), 20% increased effect of Non-Curse Auras from your Skills (), Spreads Tar when you Block ()"
Meginord's Vise,0.01,1,"Melee Strike Skills deal Splash Damage to surrounding targets (), +50 to Strength (), (150-200)% increased Armour (), 100% increased Knockback Distance (), Melee Hits with Strike Skills always Knockback ()"
Mind of the Council,0.01,1,"(230-260)% increased Evasion and Energy Shield (), +(15-20) to maximum Energy Shield (), (20-30)% increased maximum Mana (), 10% chance to Shock (), +20% chance to be Shocked (), 30% of Lightning Damage is taken from Mana before Life (), Attack Skills have Added Lightning Damage equal to 6% of maximum Mana (), Lose 3% of Mana when you use an Attack Skill ()"
Mindspiral,0.01,1,"+(100-120) to maximum Mana (), Gain (10-15)% of Maximum Mana as Extra Maximum Energy Shield (), Enemies Cannot Leech Mana From you (), (10-20)% of Damage taken Recouped as Mana (), Cannot Leech Mana ()"
Mutewind Pennant,0.01,1,"(80-100)% increased Evasion Rating (), +(20-40)% to Cold Resistance (), 10% increased Area of Effect (), Gain Onslaught for 4 seconds when you Warcry (), 25% increased Warcry Buff Effect (), Call to Arms ()"
Mutewind Whispersteps,0.01,1,"Adds (25-30) to (40-50) Cold Damage to Spells (), (50-70)% increased Spell Critical Strike Chance (), (100-150)% increased Evasion Rating (), +(20-30)% to Cold Resistance (), 25% increased Movement Speed (), Unaffected by Chilled Ground ()"
Nomic's Storm,0.01,1,"+(20-30) to Dexterity (), +(30-50) to Evasion Rating (), +(15-30) to maximum Energy Shield (), +20% to Cold Resistance (), 20% increased Movement Speed (), 15% increased Damage taken while on Full Energy Shield (), 20% increased Movement Speed while on Full Energy Shield ()"
Null and Void,0.01,1,"+(20-30) to Strength (), (150-180)% increased Armour and Energy Shield (), +(50-70) to maximum Life (), (20-40)% increased Mana Regeneration Rate (), Removes Elemental Ailments on Rampage (), Gain Immunity to Physical Damage for 1.5 seconds on Rampage (), Rampage ()"
Obscurantis,0.01,1,"+(800-1000) to Accuracy Rating (), (100-120)% increased Evasion Rating (), +(50-80) to maximum Life (), 1% increased Projectile Attack Damage per 200 Accuracy Rating ()"
Ondar's Clasp,0.01,1,"30% increased Attack Speed when on Full Life (), Adds (1-4) to (30-50) Lightning Damage to Attacks (), +(100-200) to Accuracy Rating (), 20% increased Movement Speed when on Low Life ()"
Rainbowstride,0.01,1,"(15-20)% Chance to Block Spell Damage (), +(40-60) to maximum Mana (), +20% to all Elemental Resistances (), 20% increased Movement Speed ()"
Rat's Nest,0.01,1,"15% increased Attack Speed (), (60-75)% increased Global Critical Strike Chance (), 150% increased Evasion Rating (), (20-25)% increased Rarity of Items found (), 10% increased Movement Speed (), 10% reduced Character Size ()"
Redblade Tramplers,0.01,1,"Adds (2-5) to (7-10) Physical Damage to Attacks (), (5-10)% reduced Enemy Stun Threshold (), (150-200)% increased Armour (), +(50-70) to maximum Life (), +(20-30)% to Fire Resistance (), 25% increased Movement Speed (), Unaffected by Burning Ground ()"
Repentance,0.01,1,"500% increased Attribute Requirements (), (6-12)% increased Strength (), (400-500)% increased Armour and Energy Shield (), Iron Will ()"
Rime Gaze,0.01,1,"Socketed Gems are Supported by Level 20 Concentrated Effect (), +50% to Cold Damage over Time Multiplier (), 50% increased Energy Shield (), 50% reduced Energy Shield Recharge Rate (), +(25-75) to maximum Mana ()"
Rise of the Phoenix,0.01,1,"(240-300)% increased Armour and Energy Shield (), Regenerate (100.1-199.9) Life per second (), +5% to maximum Fire Resistance (), +(20-25)% to Fire Resistance (), +25% to Fire Resistance while on Low Life (), 10% increased Movement Speed when on Low Life (), 100% chance to Avoid being Ignited while on Low Life ()"
Sadima's Touch,0.01,1,"Adds 4 to 8 Fire Damage to Attacks (), Adds 1 to 13 Lightning Damage to Attacks (), +18 to maximum Energy Shield (), (5-15)% increased Rarity of Items found ()"
Saffell's Frame,0.01,1,"(20-30)% Chance to Block Spell Damage (), (20-30)% increased Spell Damage (), +(20-30)% to all Elemental Resistances (), +4% to all maximum Resistances (), Cannot Block Attack Damage ()"
Scold's Bridle,0.01,1,"(80-100)% increased Spell Damage (), 15% reduced Cast Speed (), +(30-60) to maximum Mana (), Your Skills deal you 400% of Mana Spent on Upfront Skill Mana Costs as Physical Damage ()"
Sentari's Answer,0.01,1,"10% Chance to Block Spell Damage (), +(20-30) to Intelligence (), +5% Chance to Block (), Curse Enemies with Punishment when you Block their Melee Damage, ignoring Curse Limit (), Curse Enemies with Temporal Chains when you Block their Projectile Attack Damage, ignoring Curse Limit (), Curse Enemies with Elemental Weakness when you Block their Spell Damage, ignoring Curse Limit ()"
Shackles of the Wretched,0.01,1,"Hexes applied by Socketed Curse Skills are Reflected back to you (), (40-60)% increased Stun and Block Recovery (), You cannot be Chilled for 3 seconds after being Chilled (), You cannot be Frozen for 3 seconds after being Frozen (), You cannot be Ignited for 3 seconds after being Ignited (), You cannot be Shocked for 3 seconds after being Shocked (), You grant (4-6) Frenzy Charges to allies on Death ()"
Shadows and Dust,0.01,1,"(20-30)% increased Global Critical Strike Chance (), +(20-30)% to Global Critical Strike Multiplier (), (100-130)% increased Evasion and Energy Shield (), 0.2% of Attack Damage Leeched as Mana (), Creates a Smoke Cloud on Rampage (), Gain Unholy Might for 3 seconds on Rampage (), Rampage ()"
Shavronne's Pace,0.01,1,"+(20-30) to Intelligence (), (100-140)% increased Energy Shield (), 15% increased Movement Speed (), 20% increased Movement Speed when on Full Life (), (150-200)% increased Stun and Block Recovery ()"
Sin Trek,0.01,1,"+(20-30) to Dexterity (), +(20-30) to Intelligence (), (80-100)% increased Evasion Rating (), +(100-150) to maximum Energy Shield (), 30% increased Movement Speed (), Enemies Cannot Leech Life From you ()"
Skirmish,0.01,1,"+(15-25) to Intelligence (), +(30-50) to maximum Mana (), (20-30)% increased Mana Regeneration Rate (), 0.2% of Physical Attack Damage Leeched as Mana (), Attack Skills have +1 to maximum number of Summoned Totems ()"
Skullhead,0.01,1,"(60-80)% increased Armour and Evasion (), +(10-20)% to all Elemental Resistances (), Minions have +25% Chance to Block Attack Damage (), Minions have +25% Chance to Block Spell Damage (), Minions Recover 10% of their Life when they Block ()"
Slitherpinch,0.01,1,"+(40-50) to Dexterity (), (5-10)% increased Attack Speed (), (60-100)% increased Evasion Rating (), 0.6% of Physical Attack Damage Leeched as Life (), 0.4% of Physical Attack Damage Leeched as Mana ()"
Snakebite,0.01,1,"(150-180)% increased Evasion Rating (), +(60-70) to maximum Life (), 2% increased Attack Speed per Frenzy Charge (), 6% increased Accuracy Rating per Frenzy Charge (), 10% reduced Frenzy Charge Duration per Frenzy Charge (), Attacks have 60% chance to Poison while at maximum Frenzy Charges (), +5% to Damage over Time Multiplier for Poison per Frenzy Charge ()"
Solaris Lorica,0.01,1,"+(10-20) to Strength (), (60-80)% increased Armour (), 25% reduced Chaos Damage taken over time (), 25% increased Light Radius (), Chaos Damage taken does not bypass Energy Shield (), -(40-30) Chaos Damage taken ()"
Soul Mantle,0.01,1,"Socketed Gems are Supported by Level 20 Spell Totem (), (20-25)% increased Spell Damage (), (100-120)% increased Energy Shield (), (20-30)% increased Totem Life (), Inflicts a random Hex on you when your Totems die ()"
Soul Strike,0.01,1,"+30 to Dexterity (), Adds (13-18) to (26-32) Chaos Damage to Attacks (), (8-12)% increased Attack Speed (), +(100-120) to maximum Energy Shield (), 80% faster start of Energy Shield Recharge (), 40% reduced Energy Shield Recharge Rate ()"
Southbound,0.01,1,"Adds (60-72) to (88-100) Cold Damage to Attacks (), (12-16)% increased maximum Life (), +(40-50)% to Cold Resistance (), 100% increased Freeze Duration on Enemies (), Your Hits can only Kill Frozen Enemies ()"
Springleaf,0.01,1,"(80-120)% increased Armour and Energy Shield (), Regenerate (30-50) Life per second (), 80% reduced Freeze Duration on you (), Regenerate 100 Life per Second while on Low Life ()"
Starkonja's Head,0.01,1,"+(50-70) to Dexterity (), 50% reduced Damage when on Low Life (), 10% increased Attack Speed (), 25% increased Global Critical Strike Chance (), (100-130)% increased Evasion Rating (), +(80-100) to maximum Life (), 150% increased Global Evasion Rating when on Low Life ()"
Steppan Eard,0.01,1,"+(20-30) to maximum Energy Shield (), (50-80)% increased Energy Shield (), 30% increased Movement Speed (), 20% increased Movement Speed on Shocked Ground (), 50% increased Damage on Burning Ground (), Regenerate 2% of Life per second on Chilled Ground (), Unaffected by Desecrated Ground ()"
Sundance,0.01,1,"10% increased Attack Speed (), (80-120)% increased Evasion Rating (), (20-30)% increased Rarity of Items found (), +(30-40)% to Fire Resistance (), 20% increased Movement Speed ()"
Surgebinders,0.01,1,"(90-110)% increased Armour and Evasion (), (4-7)% increased Elemental Damage per Frenzy Charge (), (4-7)% increased Physical Damage per Endurance Charge (), (4-7)% increased Spell Damage per Power Charge (), 10% chance to Steal Power, Frenzy, and Endurance Charges on Hit ()"
The Beast Fur Shawl,0.01,1,"40% increased Spell Damage (), (120-160)% increased Energy Shield (), (50-100)% increased Energy Shield Recovery rate (), 10% increased Area of Effect (), 10% increased Damage taken ()"
The Blood Dance,0.01,1,"+(30-40) to Dexterity (), 20% increased Movement Speed (), 2% increased Movement Speed per Frenzy Charge (), 4% reduced Attack and Cast Speed per Frenzy Charge (), Regenerate 0.8% of Life per second per Frenzy Charge (), (20-30)% chance to gain a Frenzy Charge on Kill (), (20-30)% increased Damage per Frenzy Charge with Hits against Enemies on Low Life (), Gore Footprints ()"
The Bringer of Rain,0.01,1,"Socketed Gems are Supported by Level 30 Melee Physical Damage (), Socketed Gems are Supported by Level 30 Faster Attacks (), Socketed Gems are supported by Level 30 Blind (), 6% Chance to Block Attack Damage (), Adds 20 to 30 Physical Damage to Attacks (), (200-300)% increased Armour and Evasion (), +(200-300) to maximum Life (), 20% chance to gain an Endurance Charge when you Block (), Can't use Chest armour (), Extra gore ()"
The Broken Crown,0.01,1,"Socketed Gems are supported by Level 20 Cast on Death (), +(10-15) to all Attributes (), 20% increased Damage when on Low Life (), (60-100)% increased Armour and Energy Shield (), +(50-70) to maximum Energy Shield (), 20% reduced Mana Regeneration Rate (), +(43-61)% to Chaos Resistance ()"
The Deep One's Hide,0.01,1,"Adds 4 to 8 Physical Damage to Attacks (), Adds 12 to 15 Cold Damage to Attacks (), (90-130)% increased Armour and Evasion (), +(30-50)% to Fire Resistance (), Curse Enemies with Vulnerability on Block ()"
The Rat Cage,0.01,1,"(100-120)% increased Evasion Rating (), +(200-300) to maximum Life (), 15% increased Movement Speed (), 100% of Fire Damage from Hits taken as Physical Damage ()"
The Three Dragons,0.01,1,"+(26-30)% to all Elemental Resistances (), Your Fire Damage can Shock but not Ignite (), Your Cold Damage can Ignite but not Freeze or Chill (), Your Lightning Damage can Freeze but not Shock ()"
Thousand Teeth Temu,0.01,1,"(100-120)% increased Evasion Rating (), +(70-90) to maximum Life (), 0.4% of Physical Attack Damage Leeched as Life (), +10% Chance to Block (), Reflects 1000 to 10000 Physical Damage to Attackers on Block ()"
Three-step Assault,0.01,1,"+(25-35) to Dexterity (), (20-40)% increased Evasion Rating (), 100% increased Evasion Rating during Onslaught (), +(50-70) to maximum Life (), 25% increased Movement Speed (), 30% chance to Avoid Elemental Ailments while Phasing ()"
